ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist
0001,3-4 Sit-up,Strength,Waist,Body weight,Male,Rectus Abdominis,Obliques
0002,45 Degree Side Bend,Strength,Waist,Body weight,Male,Obliques,Iliopsoas
0003,Air bike,Strength,Waist,Body weight,Male,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis"
0004,Air Twisting Crunch,Strength,Waist,Body weight,Female,Obliques,"Gluteus Maximus, Quadriceps, Rectus Abdominis"
0005,Alternate Biceps Curl (with band),Strength,Upper Arms,Band,Female,Biceps Brachii,"Brachialis, Brachioradialis"
0006,Alternate Heel Touchers,Strength,Waist,Body weight,Male,Obliques,
0007,Alternate Lateral Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
0008,Alternate Lying Floor Leg Raise,Strength,Waist,Body weight,Female,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae"
0009,Assisted Chest Dip (kneeling),Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major, Triceps Brachii"
0010,Assisted Hanging Knee Raise With Throw Down,Strength,Waist,Assisted,Male,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae"
0011,Assisted Hanging Knee Raise,Strength,Waist,Assisted,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Iliopsoas, Sartorius, Tensor Fasciae Latae"
0012,Assisted Lying Leg Raise With Lateral Throw Down,Strength,Waist,Assisted,Male,"Obliques, Rectus Abdominis","Adductor Brevis, Adductor Longus, Sartorius, Tensor Fasciae Latae"
0013,Assisted Lying Leg Raise With Throw Down,Strength,Waist,Assisted,Male,Rectus Abdominis,"Adductor Brevis, Adductor Longus, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae"
0014,Assisted Motion Russian Twist,Strength,Waist,Medicine Ball,Male,Obliques,Rectus Abdominis
0015,Assisted Parallel Close Grip Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Levator Scapulae, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
0016,Assisted Prone Hamstring,Strength,Thighs,Assisted,Male,Hamstrings,
0017,Assisted Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Middle Fibers, Trapezius Upper Fibers"
0018,Assisted Standing Triceps Extension (with towel),Strength,Upper Arms,Assisted,Male,Triceps Brachii,
0019,Assisted Triceps Dip (kneeling),Strength,Upper Arms,Leverage machine,Male,Triceps Brachii,"Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major"
